Type,Name,Website,City,State,Category,Notes,Email,Phone,Status,Follow-up Date
Clinic,LIVV Natural,livvnatural.com,San Diego,CA,Peptide Clinic,Pharmaceutical grade,,,Prospect,
Clinic,Capitis Medical & Aesthetics,capitismedicalaesthetics.com,San Diego,CA,Peptide Clinic,$2700+ packages,,,Prospect,
Clinic,Avena Natural Health,avenanaturalhealth.com,Solana Beach,CA,Peptide Clinic,FDA-approved,,,Prospect,
Clinic,AH Clinics,ah-clinics.com,San Diego,CA,Peptide Clinic,Mobile setup,,(619) 810-7027,Prospect,
Clinic,House of Aesthetix,houseofaesthetix.com,San Diego,CA,Peptide Clinic,Alpine location too,,,Prospect,
Clinic,Oasis Health and Medicine,oasishealthandmedicine.com,San Diego,CA,Peptide Clinic,,,,Prospect,
Clinic,Nashville Health Pro,nashvillehealthpro.com,Nashville,TN,Peptide Clinic,Tamera Thoener FNP-C,,(629) 888-3256,Prospect,
Clinic,Vitality Medical,sommerwhitemd.com,Nashville,TN,Peptide Clinic,Dr. Sommer White ships home,,,Prospect,
Clinic,Invigorate Health,invigoratehealthtn.com,Nashville,TN,Peptide Clinic,3 locations FDA labs,,,Prospect,
Clinic,RenewalPeptides Nashville,nashville.renewalpeptides.com,Nashville,TN,Peptide Clinic,Full peptide menu,,,Prospect,
Clinic,The Dearing Clinic,thedearingclinic.com,Nashville,TN,Peptide Clinic,Integrative,,,Prospect,
Clinic,Toxxology Med Spa,toxxology.com,Nashville,TN,Peptide Clinic,East Nashville,,,Prospect,
Clinic,Nashville Hormone Center,nashvillehormone.com,Nashville,TN,Peptide Clinic,,,,Prospect,
Clinic,Austin Physical Therapy,ptatx.com,Austin,TX,Peptide Clinic,Elite athlete experience,,,Prospect,
Clinic,Austin Regenerative Therapy,austinregen.com,Austin,TX,Peptide Clinic,Cosmetic peptides,,,Prospect,
Clinic,Saving Face Austin,savingfaceaustin.com,Austin,TX,Peptide Clinic,Pharmaceutical grade,,,Prospect,
Clinic,Nirvanix Health,nirvanixhealth.com,Austin,TX,Peptide Clinic,South Congress,,,Prospect,
Clinic,BEAUX MedSpa,beauxmedspa.com,Austin,TX,Peptide Clinic,BPC-157 NAD+,,,Prospect,
Clinic,Nova Vita Care,novavitacare.com,Austin,TX,Peptide Clinic,Telehealth only,,,Prospect,
Clinic,Gonstead Wellness,gonstead-atx.com,Austin,TX,Peptide Clinic,,,,Prospect,
Clinic,Atlas Health Institute,atlashealthinstitute.com,Las Vegas,NV,Peptide Clinic,Ariana Mancilla APRN,,(702) 778-5900,Prospect,
Clinic,Renaissance Health,iwholehealth.com,Las Vegas,NV,Peptide Clinic,,,,Prospect,
Clinic,TRT MD,trtmd.com,Las Vegas,NV,Peptide Clinic,Multiple LV locations,,,Prospect,
Clinic,Modern Wellness Clinic,modernwellnessclinic.com,Las Vegas,NV,Peptide Clinic,Summerlin,,,Prospect,
Clinic,RenewalPeptides Las Vegas,las-vegas.renewalpeptides.com,Las Vegas,NV,Peptide Clinic,,,,Prospect,
Clinic,Regenerate Medical Concierge,regeneratemedicalconcierge.com,Las Vegas,NV,Peptide Clinic,,,,Prospect,
Clinic,Balance Aesthetic & Wellness,balanceawfl.com,Tampa,FL,Peptide Clinic,,,,Prospect,
Clinic,Orthobiologics Associates,orthobiologicsassociates.com,Tampa,FL,Peptide Clinic,Orlando too,,,Prospect,
Clinic,OMNI LIFE Med,omnilifemed.com,Tampa,FL,Peptide Clinic,BPC-157,,,Prospect,
Clinic,Vein & Cosmetic Center,veincentertampa.com,Tampa,FL,Peptide Clinic,Semaglutide GH peptides,,(813) 282-0223,Prospect,
Clinic,Tampa Bay Total Wellness,tampabaytotalwellness.com,Tampa,FL,Peptide Clinic,Full peptide stacks,,,Prospect,
Clinic,Alessi Functional Health,alessifunctionalhealth.com,Tampa,FL,Peptide Clinic,,,,Prospect,
Clinic,LeHeal Biogenix,leheal.com,Tampa,FL,Peptide Clinic,Regenerative,,,Prospect,
Clinic,South Tampa Regenerative,southtamparegenerative.com,Tampa,FL,Peptide Clinic,FDA-approved only,,,Prospect,
Clinic,InCare,incarenow.com,Tampa,FL,Peptide Clinic,3D body scanning,,,Prospect,
Clinic,Renew Vitality Charlotte,vitalityhrt.com,Charlotte,NC,Peptide Clinic,,,,Prospect,
Clinic,4Ever Young Charlotte,4everyoungantiaging.com,Charlotte,NC,Peptide Clinic,Carmel Village,,,Prospect,
Clinic,Infinity MedSpa,infinitymedspaandwellness.com,Charlotte,NC,Peptide Clinic,,,,Prospect,
Clinic,Companion Health,companionhealthnc.com,Charlotte,NC,Peptide Clinic,Functional medicine,,,Prospect,
Clinic,StriveMD,strivemdnc.com,Charlotte,NC,Peptide Clinic,,,,Prospect,
Clinic,Better Life Carolinas,betterlifecarolinas.com,Charlotte,NC,Peptide Clinic,,,,Prospect,
Clinic,Blue Sky MD,blueskymd.com,Charlotte,NC,Peptide Clinic,,,,Prospect,
Clinic,Aluma Wellness,alumawellness.com,Orlando,FL,Peptide Clinic,,,,Prospect,
Clinic,Anderson Longevity Clinic,andersonlongevityclinic.com,Orlando,FL,Peptide Clinic,HGH peptides,,,Prospect,
Clinic,4Ever Young Orlando,4everyoungantiaging.com,Orlando,FL,Peptide Clinic,Lake Ivanhoe,,,Prospect,
Clinic,Whole Family Healthcare,wholefamilyhealthcare.com,Orlando,FL,Peptide Clinic,,,,Prospect,
Clinic,The Aesthetics Lounge,theaestheticsloungeandspa.com,Orlando,FL,Peptide Clinic,Downtown,,,Prospect,
Clinic,Orlando Anti-Aging Clinic,orlandoantiagingclinic.com,Orlando,FL,Peptide Clinic,,,,Prospect,
Clinic,Dr. Kalidas,drkalidas.com,Orlando,FL,Peptide Clinic,,,,Prospect,
Sponsor,Hims & Hers,hims.com,Nationwide,USA,Telehealth,$499/mo Wegovy huge brand,,,Prospect,
Sponsor,Ro,ro.com,Nationwide,USA,Telehealth,Wegovy weight loss,,,Prospect,
Sponsor,LifeMD,lifemd.com,Nationwide,USA,Telehealth,$129/mo all-inclusive,,,Prospect,
Sponsor,MEDVi,medvi.com,Nationwide,USA,Telehealth,Compounded GLP-1 oral tablets,,,Prospect,
Sponsor,SynergyRx,synergyrx.com,Nationwide,USA,Telehealth,50000+ patients all 50 states,,,Prospect,
Sponsor,OrderlyMeds,orderlymeds.com,Nationwide,USA,Telehealth,Compounded tirzepatide/semaglutide,,,Prospect,
Sponsor,Brello Health,brellohealth.com,Nationwide,USA,Telehealth,Transparent pricing,,,Prospect,
Sponsor,SkinnyRx,skinnyrx.com,Nationwide,USA,Telehealth,$199/mo starting,,,Prospect,
Sponsor,Relive Health,relivehealth.com,Nationwide,USA,Telehealth,Peptides + TRT,,,Prospect,
Sponsor,Transcend,transcendcompany.com,Nationwide,USA,Telehealth,Anti-aging peptides,,,Prospect,
Sponsor,Ways2Well,ways2well.com,Nationwide,USA,Telehealth,Clinician-supervised,,,Prospect,
Sponsor,InsideTracker,insidetracker.com,Nationwide,USA,Lab Testing,48 biomarkers Quest partnership,,,Prospect,
Sponsor,Marek Health,marekhealth.com,Nationwide,USA,Lab Testing,300 markers peptide-friendly,,,Prospect,
Sponsor,Function Health,functionhealth.com,Nationwide,USA,Lab Testing,$499/year 100+ tests,,,Prospect,
Sponsor,SiPhox Health,siphoxhealth.com,Nationwide,USA,Lab Testing,60 biomarkers,,,Prospect,
Sponsor,Everlywell,everlywell.com,Nationwide,USA,Lab Testing,Women's health 11 biomarkers,,,Prospect,
Sponsor,Mito Health,mitohealth.com,Nationwide,USA,Lab Testing,AI-powered 100+ biomarkers,,,Prospect,
Sponsor,Rythm Health,rythmhealth.com,Nationwide,USA,Lab Testing,Hormones + metabolic,,,Prospect,
Sponsor,Peptide University,mypeptideuniversity.com,Nationwide,USA,Education,Brand partnerships sponsorships,,,Prospect,
Sponsor,Clinical Peptide Society,clinicalpeptidesociety.com,Nationwide,USA,Education,Monthly webinars conferences,,,Prospect,
Sponsor,Empire Medical Training,empiremedicaltraining.com,Nationwide,USA,Education,Peptide therapy training,,,Prospect,
Sponsor,SSRP Institute,ssrpinstitute.org,Nationwide,USA,Education,William Seeds certification,,,Prospect,
Sponsor,A4M,a4m.com,Nationwide,USA,Education,Fellowship in Longevity Medicine,,,Prospect,
Sponsor,Longevity Training Academy,longevitytrainingacademy.com,Nationwide,USA,Education,NAD biohacking,,,Prospect,
Sponsor,Geneva College of Longevity,gcls.study,Nationwide,USA,Education,First longevity college,,,Prospect,
